scenario,arm,repeat,restore_ms,complete_step_ms,teardown_ms,pinned_allocations,pinned_reuses,pinned_retained_peak_bytes,deserialize_ms,scene_create_ms,insert_ms,destruction_import_ms,pre_tick_validation_ms,post_tick_validation_ms,command_ms,simulate_fetch_ms,completion_ms,stress_iterations,broken_bonds,correction_passes,stress_passes,output_clusters,stress_islands,stress_active_nodes,stress_active_bonds,normal_contacts,friction_anchors,repeatability_passed,motion_comparison_measured,position_error_m,linear_error_m_s,angular_error_rad_s
building-cold,A0,4,8.972824,4.278244,5.701797,22,44,239206412,0.067805,0.54118,0.257894,8.105283,1.022136,0.368223,8.2e-05,4.106917,0.171245,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,5,8.900179,4.536754,5.721128,22,55,239206412,0.068716,0.512821,0.270976,8.046898,0.964824,0.361215,8.4e-05,4.372138,0.164532,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,6,8.956472,4.57215,5.648781,22,66,239206412,0.070057,0.51504,0.267526,8.103298,1.043842,0.37384,8.2e-05,4.408915,0.163153,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,7,9.117384,4.243618,5.772585,22,77,239206412,0.080323,0.665499,0.267127,8.103926,1.031938,0.389562,8.3e-05,4.074966,0.168569,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,8,9.036602,4.585596,6.364402,22,88,239206412,0.084387,0.533072,0.258959,8.159583,1.013096,0.363929,8.5e-05,4.422285,0.163226,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,9,11.155349,4.59031,5.71287,22,99,239206412,0.082284,0.502299,0.275416,10.294787,1.121314,0.393214,8.6e-05,4.428895,0.161329,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,10,8.967024,4.66406,5.763715,22,110,239206412,0.080156,0.501191,0.270754,8.114371,1.03769,0.359278,8.5e-05,4.490501,0.173474,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,11,8.85862,4.571596,8.29741,22,121,239206412,0.06776,0.512809,0.267634,8.009694,1.010189,0.372316,8.4e-05,4.403103,0.168409,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,12,11.30427,4.364868,5.652162,22,132,239206412,0.080875,1.153372,0.257482,9.81185,1.048731,0.351453,9.3e-05,4.192332,0.172443,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,13,9.06263,4.740713,6.075628,22,143,239206412,0.068199,0.521982,0.257536,8.21427,1.045723,0.384544,8.4e-05,4.576302,0.164327,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,14,9.10401,4.20602,6.243605,22,154,239206412,0.068582,0.513232,0.270803,8.250853,1.093543,0.421944,8.2e-05,4.058283,0.147655,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,15,9.418805,4.281739,6.073979,22,165,239206412,0.080953,0.6482,0.279629,8.409036,1.074637,0.376673,8.3e-05,4.117141,0.164515,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,16,9.222864,4.033965,5.774164,22,176,239206412,0.080126,0.648748,0.265068,8.228278,0.993164,0.390473,0.000114,3.855124,0.178727,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,17,8.864148,3.500174,5.634425,22,187,239206412,0.070498,0.518354,0.274817,7.999869,1.042969,0.392875,8.2e-05,3.333795,0.166297,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,18,8.909932,3.467949,5.735863,22,198,239206412,0.068673,0.499371,0.273313,8.067997,1.019391,0.361617,8.2e-05,3.290874,0.176993,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,19,9.004255,4.248507,5.711691,22,209,239206412,0.068548,0.590389,0.276458,8.068196,1.074236,0.354453,8.4e-05,4.08083,0.167593,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,0,209.772389,7.413749,6.431936,22,0,239206412,0.084077,124.522891,0.508307,84.656121,1.471991,8.203978,0.000143,7.242978,0.170628,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,1,9.891839,5.018881,7.835479,22,11,239206412,0.0871,0.625617,0.319816,8.858538,1.322492,0.45666,0.000112,4.819526,0.199243,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,2,10.334195,4.700971,7.069938,22,22,239206412,0.084484,0.664573,0.324439,9.259856,1.175609,0.419825,9.6e-05,4.524095,0.17678,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,3,10.085741,4.491381,6.460914,22,33,239206412,0.082937,0.622132,0.323612,9.05629,1.102639,0.399198,8.9e-05,4.324727,0.166565,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,4,9.774491,4.733619,10.530688,22,44,239206412,0.076811,0.611996,0.316792,8.768274,1.09213,0.695801,9.5e-05,4.522518,0.211006,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,5,14.558119,4.638287,8.466461,22,55,239206412,0.120639,0.801081,0.566577,13.068826,1.097179,0.611387,0.000108,4.509564,0.128615,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,6,9.616592,4.600011,6.79588,22,66,239206412,0.075351,0.573997,0.302116,8.664509,1.088124,0.421175,9.2e-05,4.434283,0.165636,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,7,9.832276,4.672046,11.549957,22,77,239206412,0.074361,0.726759,0.311023,8.719517,1.1258,0.556736,0.000106,4.511593,0.160347,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,8,17.224295,4.502431,10.205202,22,88,239206412,0.101524,0.992447,0.482174,15.646844,1.608245,0.685497,0.000448,4.35139,0.150593,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,9,15.316077,4.707275,6.316706,22,99,239206412,0.111772,0.713973,0.58048,13.908919,1.04722,0.411602,9.1e-05,4.526533,0.180651,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A1,10,9.580503,4.638958,6.270465,22,110,239206412,0.094572,0.578448,0.286274,8.62051,1.102453,0.391405,9.1e-05,4.479795,0.159072,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
